seed,best_cost
0,7262.3096
1,7440.9415
2,7189.0280
3,7222.1283
4,7327.2786
5,7298.8081
6,7373.1092
7,7292.4481
8,7430.3032
9,7478.3643
10,7473.9274
11,7352.9903
12,7541.8695
13,7086.2258
14,7306.5685
15,7177.6138
16,7283.0202
17,7404.8063
18,7401.3374
19,7272.9911
20,7459.4715
21,7452.7007
22,7468.2387
23,7505.5214
24,7320.2386
25,7341.7614
26,7456.7176
27,6948.4941
28,7498.0963
29,7481.0044
