iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1139.0081,1139.0081,0.0053,541.51
5,1066.6945,1045.3962,0.0322,569.75
10,1070.5549,1032.1024,0.0589,528.50
15,1056.1570,1018.5504,0.0860,523.74
20,1053.1969,1010.8688,0.1130,553.99
25,1054.3781,1006.3880,0.1400,512.97
30,1061.3221,1004.8169,0.1667,544.03
35,1053.0923,1001.3016,0.1935,503.57
40,1051.9896,998.0255,0.2204,569.55
45,1057.9718,995.1550,0.2474,529.07
50,1049.2222,993.9072,0.2742,524.32
55,1049.0870,992.0440,0.3011,520.66
60,1052.2829,989.2649,0.3277,551.31
65,1047.0650,987.8157,0.3544,547.00
70,1052.0868,986.6008,0.3813,541.78
75,1050.8669,986.3191,0.4082,538.15
80,1057.6245,986.0497,0.4351,569.17
85,1057.1226,985.5004,0.4622,564.62
90,1052.8145,985.5004,0.4894,560.03
95,1047.4489,984.3652,0.5162,520.49
100,1057.2255,984.2035,0.5379,538.17
