iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,487881.0698,487881.0698,0.0346,1217.70
5,479433.8900,476868.4773,0.2067,1295.28
10,477086.6960,474239.0130,0.3783,1177.00
15,475195.7214,471897.9751,0.5495,1174.86
20,473792.9539,470114.1580,0.7204,1247.85
25,472050.8203,468730.9401,0.8909,1207.06
30,470967.5053,467076.3281,1.0609,1186.56
35,469822.7807,465860.6408,1.2305,1212.64
40,468977.7645,464923.7898,1.4001,1165.77
45,467999.1541,464202.5461,1.5695,1247.97
50,468059.0627,463079.1333,1.7385,1159.60
55,467067.5462,462376.2823,1.9077,1179.24
60,467648.6837,462255.9712,2.0771,1284.93
65,467304.8826,461897.6323,2.2464,1198.39
70,467909.7254,461299.7741,2.4154,1173.61
75,467346.9595,460878.6001,2.5843,1120.88
80,467575.4401,460251.4968,2.7529,1268.83
85,467404.1931,459844.3063,2.9220,1172.15
90,466604.4227,459714.8894,3.0907,1213.29
95,467491.4429,459606.7342,3.2599,1226.15
100,467339.6142,459606.7342,3.3950,1237.95
