iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1574.6055,1574.6055,0.0025,580.21
5,1447.3803,1431.2349,0.0154,601.17
10,1444.4158,1415.2939,0.0281,585.60
15,1435.6350,1400.6793,0.0408,569.59
20,1436.0814,1392.7316,0.0535,622.63
25,1433.0189,1390.6081,0.0662,606.03
30,1431.3528,1388.2133,0.0789,555.05
35,1424.3357,1387.0604,0.0916,607.57
40,1424.6093,1385.2592,0.1044,591.35
45,1412.0913,1382.4328,0.1171,574.21
50,1421.7104,1380.8183,0.1298,557.47
55,1417.5515,1378.3851,0.1425,609.86
60,1423.4559,1378.3851,0.1552,592.70
65,1425.7077,1378.0929,0.1679,541.27
70,1417.9224,1376.5526,0.1805,593.82
75,1419.8623,1375.7876,0.1933,576.62
80,1415.5740,1374.9603,0.2059,594.06
85,1423.3015,1374.7309,0.2187,611.72
90,1417.0240,1374.7309,0.2314,594.81
95,1425.3263,1374.3134,0.2441,577.88
100,1422.9991,1374.3134,0.2543,536.82
